"Sort:","Fecha","Hora","Folio","Emisora","Operación","Títulos","Precio","Comisión","IVA","Importe total"
"Fecha10/OCT/2022","Hora11:07","Folio10922883","EmisoraIVVPESO ISHRS","OperaciónCOMPRA","Títulos1","Precio$66.720","Comisión$0.07","IVA$0.01","Importe total$66.80"
"Fecha10/OCT/2022","Hora11:09","Folio10922985","EmisoraCETETRC ISHRS","OperaciónCOMPRA","Títulos1","Precio$105.600","Comisión$0.11","IVA$0.02","Importe total$105.72"
"Fecha10/OCT/2022","Hora11:10","Folio10923081","EmisoraFIBRATC 14","OperaciónCOMPRA","Títulos1","Precio$18.160","Comisión$0.02","IVA$0.00","Importe total$18.18"
"Fecha10/OCT/2022","Hora11:11","Folio10923161","EmisoraSPLG *","OperaciónCOMPRA","Títulos1","Precio$851.010","Comisión$0.85","IVA$0.14","Importe total$852.00"
"Fecha10/OCT/2022","Hora11:15","Folio10923471","EmisoraNAFTRAC ISHRS","OperaciónCOMPRA","Títulos1","Precio$45.690","Comisión$0.05","IVA$0.01","Importe total$45.74"
"Fecha10/OCT/2022","Hora11:15","Folio10923476","EmisoraNAFTRAC ISHRS","OperaciónCOMPRA","Títulos1","Precio$45.690","Comisión$0.05","IVA$0.01","Importe total$45.74"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos1","Precio$991.110","Comisión$0.99","IVA$0.16","Importe total$992.26"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos2","Precio$998.000","Comisión$2.00","IVA$0.32","Importe total$1,998.32"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos8","Precio$999.990","Comisión$8.00","IVA$1.28","Importe total$8,009.20"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos10","Precio$990.010","Comisión$9.90","IVA$1.58","Importe total$9,911.58"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos15","Precio$990.010","Comisión$14.85","IVA$2.38","Importe total$14,867.38"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos23","Precio$984.310","Comisión$22.64","IVA$3.62","Importe total$22,665.39"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos30","Precio$990.010","Comisión$29.70","IVA$4.75","Importe total$29,734.75"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos37","Precio$990.010","Comisión$36.63","IVA$5.86","Importe total$36,672.86"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos47","Precio$990.000","Comisión$46.53","IVA$7.44","Importe total$46,583.97"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos47","Precio$990.010","Comisión$46.53","IVA$7.44","Importe total$46,584.45"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos47","Precio$990.010","Comisión$46.53","IVA$7.44","Importe total$46,584.45"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos47","Precio$990.010","Comisión$46.53","IVA$7.44","Importe total$46,584.45"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos57","Precio$990.010","Comisión$56.43","IVA$9.03","Importe total$56,496.03"
"Fecha13/OCT/2022","Hora08:31","Folio10989708","EmisoraSPXL *","OperaciónCOMPRA","Títulos59","Precio$1,000.000","Comisión$59.00","IVA$9.44","Importe total$59,068.44"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos10","Precio$330.000","Comisión$3.30","IVA$0.53","Importe total$3,303.83"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos80","Precio$330.000","Comisión$26.40","IVA$4.22","Importe total$26,430.62"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos120","Precio$330.000","Comisión$39.60","IVA$6.34","Importe total$39,645.94"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos210","Precio$332.000","Comisión$69.72","IVA$11.16","Importe total$69,800.88"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos280","Precio$330.000","Comisión$92.40","IVA$14.78","Importe total$92,507.18"
"Fecha13/OCT/2022","Hora08:32","Folio10989747","EmisoraTQQQ *","OperaciónCOMPRA","Títulos720","Precio$330.000","Comisión$237.60","IVA$38.02","Importe total$237,875.62"
"Fecha13/OCT/2022","Hora08:39","Folio10990068","EmisoraNVDA *","OperaciónCOMPRA","Títulos1","Precio$2,160.030","Comisión$2.16","IVA$0.35","Importe total$2,162.54"
"Fecha13/OCT/2022","Hora09:04","Folio10991227","EmisoraTSLA *","OperaciónCOMPRA","Títulos1","Precio$4,199.990","Comisión$4.20","IVA$0.67","Importe total$4,204.86"
"Fecha13/OCT/2022","Hora09:04","Folio10991227","EmisoraTSLA *","OperaciónCOMPRA","Títulos3","Precio$4,160.020","Comisión$12.48","IVA$2.00","Importe total$12,494.54"
"Fecha13/OCT/2022","Hora09:04","Folio10991227","EmisoraTSLA *","OperaciónCOMPRA","Títulos5","Precio$4,199.990","Comisión$21.00","IVA$3.36","Importe total$21,024.31"
"Fecha13/OCT/2022","Hora09:28","Folio10992666","EmisoraHOMEX *","OperaciónCOMPRA","Títulos100","Precio$0.025","Comisión$0.00","IVA$0.00","Importe total$2.50"
"Fecha13/OCT/2022","Hora09:28","Folio10992680","EmisoraACTI500 B","OperaciónCOMPRA","Títulos10","Precio$5.134","Comisión$0.05","IVA$0.01","Importe total$51.40"
"Fecha13/OCT/2022","Hora09:29","Folio10992703","EmisoraACTICRE B","OperaciónCOMPRA","Títulos1","Precio$17.028","Comisión$0.02","IVA$0.00","Importe total$17.05"
"Fecha13/OCT/2022","Hora09:29","Folio10992716","EmisoraACTDUAL B","OperaciónCOMPRA","Títulos10","Precio$0.166","Comisión$0.00","IVA$0.00","Importe total$1.66"
"Fecha13/OCT/2022","Hora09:29","Folio10992726","EmisoraACTIPLU B","OperaciónCOMPRA","Títulos10","Precio$1.147","Comisión$0.01","IVA$0.00","Importe total$11.48"
"Fecha13/OCT/2022","Hora09:48","Folio10993801","EmisoraACTIMED B","OperaciónCOMPRA","Títulos1","Precio$5.998","Comisión$0.01","IVA$0.00","Importe total$6.01"
"Fecha13/OCT/2022","Hora11:23","Folio10999434","EmisoraCEMEX CPO","OperaciónCOMPRA","Títulos1","Precio$6.720","Comisión$0.01","IVA$0.00","Importe total$6.73"
"Fecha13/OCT/2022","Hora11:26","Folio10999541","EmisoraTQQQ *","OperaciónCOMPRA","Títulos1","Precio$372.000","Comisión$0.37","IVA$0.06","Importe total$372.43"
"Fecha13/OCT/2022","Hora11:26","Folio10999560","EmisoraTQQQ *","OperaciónCOMPRA","Títulos6","Precio$372.000","Comisión$2.23","IVA$0.36","Importe total$2,234.59"
"Fecha13/OCT/2022","Hora11:42","Folio11000265","EmisoraACTINVR B","OperaciónCOMPRA","Títulos1","Precio$12.200","Comisión$0.01","IVA$0.00","Importe total$12.21"
"Fecha13/OCT/2022","Hora11:42","Folio11000293","EmisoraGFAMSA A","OperaciónCOMPRA","Títulos1","Precio$1.240","Comisión$0.00","IVA$0.00","Importe total$1.24"